datetime,value,value_scaled
2015-06-25 11:00:00+00:00,34503.454,0.7162976418614351
2015-06-25 12:00:00+00:00,33541.582,0.6679388105975439
2015-06-25 13:00:00+00:00,32861.325,0.6337383832235468
2015-06-25 14:00:00+00:00,32934.387,0.6374116296948058
2015-06-25 15:00:00+00:00,33180.914,0.6498059582489097
2015-06-25 16:00:00+00:00,32745.231,0.6279016708992977
2015-06-25 17:00:00+00:00,32234.187,0.6022085531409846
2015-06-25 18:00:00+00:00,31555.33,0.5680785118097977
2015-06-25 19:00:00+00:00,31271.005,0.5537838606513212
2015-06-25 20:00:00+00:00,30989.659,0.539638980936795
2015-06-25 21:00:00+00:00,28825.376,0.4308280410151537
2015-06-25 22:00:00+00:00,27534.894,0.3659480972314806
2015-06-25 23:00:00+00:00,25859.137,0.28169816584530327
2015-06-26 00:00:00+00:00,24598.303,0.21830879734536013
2015-06-26 01:00:00+00:00,24023.516,0.1894109527821768
2015-06-26 02:00:00+00:00,23843.21,0.18034593432871593
2015-06-26 03:00:00+00:00,24132.546,0.19489251724470602
2015-06-26 04:00:00+00:00,25414.012,0.25931917491268486
2015-06-26 05:00:00+00:00,27524.681,0.36543463104918383
2015-06-26 06:00:00+00:00,29912.872,0.48550271245184895
2015-06-26 07:00:00+00:00,32192.582,0.600116830775915
2015-06-26 08:00:00+00:00,33647.427,0.6732602468126814
2015-06-26 09:00:00+00:00,34391.046,0.7106462459327552
2015-06-26 10:00:00+00:00,35272.222,0.7549480256890957
2015-06-26 11:00:00+00:00,35688.855,0.7758945600990474
2015-06-26 12:00:00+00:00,34601.638,0.721233915595169
2015-06-26 13:00:00+00:00,33690.179,0.6754096354571095
2015-06-26 14:00:00+00:00,33606.591,0.6712071864954121
2015-06-26 15:00:00+00:00,33589.534,0.6703496331152656
2015-06-26 16:00:00+00:00,33133.365,0.6474153968563681
2015-06-26 17:00:00+00:00,32740.488,0.6276632130414075
2015-06-26 18:00:00+00:00,31990.256,0.5899447404205476
2015-06-26 19:00:00+00:00,31390.74,0.5598036269626205
2015-06-26 20:00:00+00:00,31071.564,0.5437568158198864
2015-06-26 21:00:00+00:00,29197.263,0.4495249369454175
2015-06-26 22:00:00+00:00,28249.339,0.40186735177089017
2015-06-26 23:00:00+00:00,26653.426,0.32163163695763974
2015-06-27 00:00:00+00:00,25196.677,0.24839249590265244
2015-06-27 01:00:00+00:00,24367.692,0.20671465754651241
2015-06-27 02:00:00+00:00,23843.306,0.18035076080022283
2015-06-27 03:00:00+00:00,23455.349,0.16084593364999322
2015-06-27 04:00:00+00:00,23169.904,0.14649497365726916
2015-06-27 05:00:00+00:00,23582.448,0.16723593054647168
2015-06-27 06:00:00+00:00,25394.305,0.25832839080864867
2015-06-27 07:00:00+00:00,27886.375,0.38361906631204823
2015-06-27 08:00:00+00:00,29924.307,0.48607761559436957
2015-06-27 09:00:00+00:00,31021.347,0.5412321187400477
2015-06-27 10:00:00+00:00,31698.963,0.5752997678718583
2015-06-27 11:00:00+00:00,32249.596,0.6029832520935952
2015-06-27 12:00:00+00:00,31762.894,0.5785139465167632
2015-06-27 13:00:00+00:00,30866.143,0.5334291220341647
2015-06-27 14:00:00+00:00,30271.43,0.5035294829788197
2015-06-27 15:00:00+00:00,29985.275,0.4891428272072422
2015-06-27 16:00:00+00:00,29771.214,0.47838075098589483
2015-06-27 17:00:00+00:00,29723.7,0.47599194924442334
2015-06-27 18:00:00+00:00,29672.153,0.47340038542391505
2015-06-27 19:00:00+00:00,29676.898,0.4736389438332953
2015-06-27 20:00:00+00:00,29968.615,0.48830523329780684
2015-06-27 21:00:00+00:00,28470.268,0.412974721807964
2015-06-27 22:00:00+00:00,26750.672,0.32652075204269093
2015-06-27 23:00:00+00:00,25063.416,0.2416926998663218
2015-06-28 00:00:00+00:00,23683.511,0.1723169481496689
2015-06-28 01:00:00+00:00,22878.427,0.1318407503715251
2015-06-28 02:00:00+00:00,22334.868,0.10451291676895669
2015-06-28 03:00:00+00:00,22023.791,0.08887328888387702
2015-06-28 04:00:00+00:00,21545.517,0.0648277072847594
2015-06-28 05:00:00+00:00,21357.961,0.05539818968103405
2015-06-28 06:00:00+00:00,22464.858,0.11104826084383701
2015-06-28 07:00:00+00:00,24202.548,0.1984119199366805
2015-06-28 08:00:00+00:00,25898.974,0.2837010006934533
2015-06-28 09:00:00+00:00,27069.243,0.34253714635978216
2015-06-28 10:00:00+00:00,27921.686,0.38539435313894344
2015-06-28 11:00:00+00:00,28810.427,0.4300764689051808
2015-06-28 12:00:00+00:00,29258.014,0.45257923872165473
2015-06-28 13:00:00+00:00,28678.219,0.42342961322819206
2015-06-28 14:00:00+00:00,28036.258,0.3911545457795096
2015-06-28 15:00:00+00:00,27828.329,0.3807007604256687
2015-06-28 16:00:00+00:00,27783.833,0.378463690882197
2015-06-28 17:00:00+00:00,27763.085,0.3774205697277573
2015-06-28 18:00:00+00:00,28224.978,0.40064258435025657
2015-06-28 19:00:00+00:00,29224.42,0.45089027534869097
2015-06-28 20:00:00+00:00,30686.589,0.5244019109408415
2015-06-28 21:00:00+00:00,29530.763,0.4662918978575845
2015-06-28 22:00:00+00:00,27473.934,0.3628832878245669
2015-06-28 23:00:00+00:00,25587.873,0.26806016619049666
2015-06-29 00:00:00+00:00,24194.449,0.19800473667902652
2015-06-29 01:00:00+00:00,23470.55,0.16161017524767196
2015-06-29 02:00:00+00:00,23207.689,0.148394642676958
2015-06-29 03:00:00+00:00,23657.719,0.171020236138135
2015-06-29 04:00:00+00:00,25202.689,0.2486947536807751
2015-06-29 05:00:00+00:00,27645.059,0.3714867246644309
2015-06-29 06:00:00+00:00,30466.2,0.5133216898059945
2015-06-29 07:00:00+00:00,33069.031,0.6441809570862833
2015-06-29 08:00:00+00:00,34764.73,0.7294334873765398
2015-06-29 09:00:00+00:00,35491.838,0.765989383673163
2015-06-29 10:00:00+00:00,36612.766,0.8223448738121539
2015-06-29 11:00:00+00:00,37188.395,0.8512850505525127
2015-06-29 12:00:00+00:00,36736.562,0.8285688099233459
2015-06-29 13:00:00+00:00,36474.25,0.8153808787365624
2015-06-29 14:00:00+00:00,36476.917,0.815514964148115
2015-06-29 15:00:00+00:00,36491.967,0.816271614108319
2015-06-29 16:00:00+00:00,35782.296,0.7805923759748907
2015-06-29 17:00:00+00:00,35027.419,0.7426403725191371
2015-06-29 18:00:00+00:00,34088.669,0.6954440170279925
2015-06-29 19:00:00+00:00,33630.238,0.6723960570342125
2015-06-29 20:00:00+00:00,33383.633,0.6599978069720092
2015-06-29 21:00:00+00:00,31173.872,0.5489004267254396
2015-06-29 22:00:00+00:00,29517.526,0.465626397822819
2015-06-29 23:00:00+00:00,27487.979,0.3635894106611828
2015-06-30 00:00:00+00:00,26147.96,0.29621895730417824
2015-06-30 01:00:00+00:00,25524.29,0.2648634835048047
2015-06-30 02:00:00+00:00,25200.193,0.24856926542159452
2015-06-30 03:00:00+00:00,25311.797,0.2541802396514039
2015-06-30 04:00:00+00:00,26565.253,0.3171986737057402
2015-06-30 05:00:00+00:00,28774.677,0.42827911102629024
2015-06-30 06:00:00+00:00,31320.591,0.556276833736151
2015-06-30 07:00:00+00:00,33921.308,0.6870298180917971
2015-06-30 08:00:00+00:00,35679.22,0.7754101532972819
2015-06-30 09:00:00+00:00,36306.128,0.8069284199585254
2015-06-30 10:00:00+00:00,37267.507,0.855262465280199
2015-06-30 11:00:00+00:00,37946.469,0.8893977855645967
2015-06-30 12:00:00+00:00,37318.618,0.8578321088759466
2015-06-30 13:00:00+00:00,36900.745,0.8368232325423635
2015-06-30 14:00:00+00:00,37000.27,0.8418269260499598
2015-06-30 15:00:00+00:00,36967.763,0.8401926124116637
2015-06-30 16:00:00+00:00,36178.924,0.8005331441088364
2015-06-30 17:00:00+00:00,35351.563,0.7589369535623558
2015-06-30 18:00:00+00:00,34346.569,0.7084101316284359
2015-06-30 19:00:00+00:00,33889.456,0.6854284350663868
2015-06-30 20:00:00+00:00,33695.467,0.6756754935959508
2015-06-30 21:00:00+00:00,31407.861,0.5606643979904382
2015-06-30 22:00:00+00:00,29763.292,0.4779824665350816
2015-06-30 23:00:00+00:00,27732.153,0.3758654403876218
2015-07-01 00:00:00+00:00,26268.132,0.30226069411598333
2015-07-01 01:00:00+00:00,25492.117,0.2632459619652927
2015-07-01 02:00:00+00:00,25245.643,0.2508542980256665
2015-07-01 03:00:00+00:00,25375.038,0.2573597280323525
2015-07-01 04:00:00+00:00,26593.753,0.31863153243436604
2015-07-01 05:00:00+00:00,28735.34,0.42630141405057254
2015-07-01 06:00:00+00:00,31200.023,0.5502151877293799
2015-07-01 07:00:00+00:00,33778.317,0.6798408390579391
2015-07-01 08:00:00+00:00,35207.635,0.7517008661555602
2015-07-01 09:00:00+00:00,36069.004,0.795006834233378
2015-07-01 10:00:00+00:00,37017.238,0.8426800048888132
2015-07-01 11:00:00+00:00,37397.791,0.8618125904240692
2015-07-01 12:00:00+00:00,36774.253,0.8304637530230174
2015-07-01 13:00:00+00:00,36313.019,0.8072748701163839
2015-07-01 14:00:00+00:00,36228.585,0.803029887874531
2015-07-01 15:00:00+00:00,36137.239,0.7984373996841778
2015-07-01 16:00:00+00:00,35420.089,0.762382149254911
2015-07-01 17:00:00+00:00,34631.751,0.7227478691002605
2015-07-01 18:00:00+00:00,33725.618,0.6771913575793476
2015-07-01 19:00:00+00:00,33357.656,0.6586917939476753
2015-07-01 20:00:00+00:00,32792.246,0.630265385044082
2015-07-01 21:00:00+00:00,30574.998,0.5187915902957154
2015-07-01 22:00:00+00:00,28980.943,0.4386492878164223
2015-07-01 23:00:00+00:00,27105.128,0.3443412914642292
2015-07-02 00:00:00+00:00,25706.657,0.27403212026843016
2015-07-02 01:00:00+00:00,25167.7,0.24693565564372633
2015-07-02 02:00:00+00:00,24933.081,0.23514001065946322
2015-07-02 03:00:00+00:00,25133.227,0.24520249989102716
2015-07-02 04:00:00+00:00,26542.475,0.31605349278922623
2015-07-02 05:00:00+00:00,28501.979,0.4145690159533484
2015-07-02 06:00:00+00:00,30919.121,0.5360926304455733
2015-07-02 07:00:00+00:00,33318.086,0.656702382723404
2015-07-02 08:00:00+00:00,34714.635,0.7269149239375743
2015-07-02 09:00:00+00:00,35079.486,0.7452580797269743
2015-07-02 10:00:00+00:00,35916.339,0.787331487643705
2015-07-02 11:00:00+00:00,36510.495,0.8172031231091608
2015-07-02 12:00:00+00:00,35949.663,0.7890068765655553
